
Time elapsed was 337640111070ns or 337.640111070s
Time elapsed was 390021076378ns or 390.021076378s
Time elapsed was 400282579883ns or 400.282579883s
Time elapsed was 306366360335ns or 306.366360335s
Time elapsed was 306535164484ns or 306.535164484s
Time elapsed was 306013614665ns or 306.013614665s
Time elapsed was 304458146145ns or 304.458146145s
Time elapsed was 304623413732ns or 304.623413732s
Time elapsed was 306237876986ns or 306.237876986s
Time elapsed was 306255424630ns or 306.255424630s
