"Time elapsed was 615476834861ns or 615.476834861s
Time elapsed was 615449974716ns or 615.449974716s
Time elapsed was 615452008673ns or 615.452008673s
Time elapsed was 330069370399ns or 330.069370399s
Time elapsed was 330069371430ns or 330.069371430s
Time elapsed was 330069372079ns or 330.069372079s
Time elapsed was 326139317792ns or 326.139317792s
Time elapsed was 326139373781ns or 326.139373781s
Time elapsed was 326139373919ns or 326.139373919s
Time elapsed was 325960064882ns or 325.960064882s
Time elapsed was 325960320528ns or 325.960320528s
Time elapsed was 325960088168ns or 325.960088168s
Time elapsed was 326560444523ns or 326.560444523s
Time elapsed was 326560792559ns or 326.560792559s
Time elapsed was 326560937477ns or 326.560937477s
Time elapsed was 331515985111ns or 331.515985111s
Time elapsed was 331516105381ns or 331.516105381s
Time elapsed was 331516483524ns or 331.516483524s
Time elapsed was 335131880310ns or 335.131880310s
Time elapsed was 335132413481ns or 335.132413481s
Time elapsed was 335132493987ns or 335.132493987s
Time elapsed was 328148282803ns or 328.148282803s
Time elapsed was 328147950084ns or 328.147950084s
Time elapsed was 328148094289ns or 328.148094289s
Time elapsed was 327736570476ns or 327.736570476s
Time elapsed was 327737111680ns or 327.737111680s
Time elapsed was 327737294849ns or 327.737294849s
Time elapsed was 326717036909ns or 326.717036909s
Time elapsed was 326717480355ns or 326.717480355s
Time elapsed was 326717118828ns or 326.717118828s
"
